graph_assertion_id_a,graph_assertion_id_b,setup_a,setup_b,first_seen_version
e5_llama::AnnoCTR::RAG::bosch_12__s6::T1204,e5_mistral::AnnoCTR::RAG::bosch_12__s6::T1204,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s6::T1574,gteqwen_llama::AnnoCTR::RAG::bosch_12__s6::T1574,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s6::T1574,gteqwen_mistral::AnnoCTR::RAG::bosch_12__s6::T1574,e5_llama,gteqwen_mistral,v4.0
gteqwen_llama::AnnoCTR::RAG::bosch_12__s6::T1574,gteqwen_mistral::AnnoCTR::RAG::bosch_12__s6::T1574,gteqwen_llama,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_12__s9::T1620,e5_mistral::AnnoCTR::RAG::bosch_12__s9::T1620,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s10::T1104,e5_mistral::AnnoCTR::RAG::bosch_13__s10::T1104,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s15::T1105,e5_mistral::AnnoCTR::RAG::bosch_13__s15::T1105,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s15::T1105,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s15::T1105,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_13__s15::T1105,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s15::T1105,e5_mistral,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_13__s16::T1104,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s16::T1104,e5_llama,gteqwen_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s17::T1041,e5_mistral::AnnoCTR::RAG::bosch_13__s17::T1041,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s19::T1041,e5_mistral::AnnoCTR::RAG::bosch_13__s19::T1041,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s19::T1041,gteqwen_llama::AnnoCTR::RAG::bosch_13__s19::T1041,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s19::T1041,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s19::T1041,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_13__s19::T1041,gteqwen_llama::AnnoCTR::RAG::bosch_13__s19::T1041,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_13__s19::T1041,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s19::T1041,e5_mistral,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_13__s19::T1041,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s19::T1041,gteqwen_llama,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_13__s2::T1620,gteqwen_llama::AnnoCTR::RAG::bosch_13__s2::T1620,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s21::T1059,e5_mistral::AnnoCTR::RAG::bosch_13__s21::T1059,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s21::T1059,e5_phi35::AnnoCTR::RAG::bosch_13__s21::T1059,e5_llama,e5_phi35,v5.0
e5_llama::AnnoCTR::RAG::bosch_13__s21::T1059,gteqwen_llama::AnnoCTR::RAG::bosch_13__s21::T1059,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s21::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s21::T1059,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_13__s21::T1059,e5_phi35::AnnoCTR::RAG::bosch_13__s21::T1059,e5_mistral,e5_phi35,v5.0
e5_mistral::AnnoCTR::RAG::bosch_13__s21::T1059,gteqwen_llama::AnnoCTR::RAG::bosch_13__s21::T1059,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_13__s21::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s21::T1059,e5_mistral,gteqwen_mistral,v3.0
e5_phi35::AnnoCTR::RAG::bosch_13__s21::T1059,gteqwen_llama::AnnoCTR::RAG::bosch_13__s21::T1059,e5_phi35,gteqwen_llama,v5.0
e5_phi35::AnnoCTR::RAG::bosch_13__s21::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s21::T1059,e5_phi35,gteqwen_mistral,v5.0
gteqwen_llama::AnnoCTR::RAG::bosch_13__s21::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s21::T1059,gteqwen_llama,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_13__s4::T1005,e5_mistral::AnnoCTR::RAG::bosch_13__s4::T1005,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s6::T1041,e5_mistral::AnnoCTR::RAG::bosch_13__s6::T1041,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s8::T1059,e5_mistral::AnnoCTR::RAG::bosch_13__s8::T1059,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s8::T1059,gteqwen_llama::AnnoCTR::RAG::bosch_13__s8::T1059,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s8::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s8::T1059,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_13__s8::T1059,gteqwen_llama::AnnoCTR::RAG::bosch_13__s8::T1059,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_13__s8::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s8::T1059,e5_mistral,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_13__s8::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s8::T1059,gteqwen_llama,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_13__s9::T1059,e5_mistral::AnnoCTR::RAG::bosch_13__s9::T1059,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_13__s9::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s9::T1059,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_13__s9::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_13__s9::T1059,e5_mistral,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_14__s11::T1059,e5_mistral::AnnoCTR::RAG::bosch_14__s11::T1059,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s11::T1059,gteqwen_llama::AnnoCTR::RAG::bosch_14__s11::T1059,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s11::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s11::T1059,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_14__s11::T1059,gteqwen_llama::AnnoCTR::RAG::bosch_14__s11::T1059,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_14__s11::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s11::T1059,e5_mistral,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_14__s11::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s11::T1059,gteqwen_llama,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_14__s12::T1059,e5_mistral::AnnoCTR::RAG::bosch_14__s12::T1059,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s12::T1059,gteqwen_llama::AnnoCTR::RAG::bosch_14__s12::T1059,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s12::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s12::T1059,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_14__s12::T1059,gteqwen_llama::AnnoCTR::RAG::bosch_14__s12::T1059,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_14__s12::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s12::T1059,e5_mistral,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_14__s12::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s12::T1059,gteqwen_llama,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_14__s17::T1105,e5_mistral::AnnoCTR::RAG::bosch_14__s17::T1105,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s17::T1583,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s17::T1583,e5_llama,gteqwen_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s19::T1497,e5_mistral::AnnoCTR::RAG::bosch_14__s19::T1497,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s19::T1497,gteqwen_llama::AnnoCTR::RAG::bosch_14__s19::T1497,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s19::T1497,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s19::T1497,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_14__s19::T1497,gteqwen_llama::AnnoCTR::RAG::bosch_14__s19::T1497,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_14__s19::T1497,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s19::T1497,e5_mistral,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_14__s19::T1497,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s19::T1497,gteqwen_llama,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_14__s20::T1104,e5_mistral::AnnoCTR::RAG::bosch_14__s20::T1104,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s20::T1104,e5_phi35::AnnoCTR::RAG::bosch_14__s20::T1104,e5_llama,e5_phi35,v5.0
e5_llama::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_llama::AnnoCTR::RAG::bosch_14__s20::T1104,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s20::T1104,e5_llama,gteqwen_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_phi35::AnnoCTR::RAG::bosch_14__s20::T1104,e5_llama,gteqwen_phi35,v6.0
e5_mistral::AnnoCTR::RAG::bosch_14__s20::T1104,e5_phi35::AnnoCTR::RAG::bosch_14__s20::T1104,e5_mistral,e5_phi35,v5.0
e5_mistral::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_llama::AnnoCTR::RAG::bosch_14__s20::T1104,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s20::T1104,e5_mistral,gteqwen_mistral,v3.0
e5_mistral::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_phi35::AnnoCTR::RAG::bosch_14__s20::T1104,e5_mistral,gteqwen_phi35,v6.0
e5_phi35::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_llama::AnnoCTR::RAG::bosch_14__s20::T1104,e5_phi35,gteqwen_llama,v5.0
e5_phi35::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s20::T1104,e5_phi35,gteqwen_mistral,v5.0
e5_phi35::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_phi35::AnnoCTR::RAG::bosch_14__s20::T1104,e5_phi35,gteqwen_phi35,v6.0
gteqwen_llama::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_llama,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_phi35::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_llama,gteqwen_phi35,v6.0
gteqwen_mistral::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_phi35::AnnoCTR::RAG::bosch_14__s20::T1104,gteqwen_mistral,gteqwen_phi35,v6.0
e5_llama::AnnoCTR::RAG::bosch_14__s24::T1027,e5_mistral::AnnoCTR::RAG::bosch_14__s24::T1027,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s7::T1059,e5_phi35::AnnoCTR::RAG::bosch_14__s7::T1059,e5_llama,e5_phi35,v5.0
e5_llama::AnnoCTR::RAG::bosch_14__s8::T1059,e5_mistral::AnnoCTR::RAG::bosch_14__s8::T1059,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s8::T1059,e5_phi35::AnnoCTR::RAG::bosch_14__s8::T1059,e5_llama,e5_phi35,v5.0
e5_mistral::AnnoCTR::RAG::bosch_14__s8::T1059,e5_phi35::AnnoCTR::RAG::bosch_14__s8::T1059,e5_mistral,e5_phi35,v5.0
e5_llama::AnnoCTR::RAG::bosch_14__s9::T1059,e5_mistral::AnnoCTR::RAG::bosch_14__s9::T1059,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s9::T1059,gteqwen_llama::AnnoCTR::RAG::bosch_14__s9::T1059,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s9::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s9::T1059,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_14__s9::T1059,gteqwen_llama::AnnoCTR::RAG::bosch_14__s9::T1059,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_14__s9::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s9::T1059,e5_mistral,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_14__s9::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_14__s9::T1059,gteqwen_llama,gteqwen_mistral,v3.0
