dataset,doc_id,sent_idx,sentence,sentence_id,first_seen_version
AnnoCTR,bosch_0,12,"The platform detailed access to another aviation company based in Scandinavia, mainly showcasing programs designed for training",bosch_0__s12,v1.0
AnnoCTR,bosch_0,13,The actor is well-known for selling access to Citrix Gateways on various cybercriminal forums,bosch_0__s13,v1.0
AnnoCTR,bosch_0,14,"* Also in January 2021, an actor offered to sell information on a remote code execution (RCE) vulnerability allegedly impacting a European-based cargo airline",bosch_0__s14,v1.0
AnnoCTR,bosch_0,15,The actor sought US $150 for the information about the vulnerability that allegedly could be exploited to exfiltrate several internal documents and access login credentials,bosch_0__s15,v1.0
AnnoCTR,bosch_0,16,The actor further claimed they also uploaded a web shell to the impacted server,bosch_0__s16,v1.0
AnnoCTR,bosch_0,17,"### Gift Cards Gift cards have long been a staple of the cybercrime underground, utilized by criminals as a way to move money",bosch_0__s17,v1.0
AnnoCTR,bosch_0,18,"Whether it be physical cards or solely online credits, numerous transportation companies use gift cards as a way from customers to buy flights",bosch_0__s18,v1.0
AnnoCTR,bosch_0,19,There are actors that have leveraged that ability for their own crimes,bosch_0__s19,v1.0
AnnoCTR,bosch_0,20,* One actor Intel 471 has tracked has been in the gift card fraud business since at least 2017,bosch_0__s20,v1.0
AnnoCTR,bosch_0,21,"The actor, who was previously engaged in selling compromised remote desktop protocol (RDP) credentials, bought ready-to-use gift cards from other actors, derived them from compromised accounts and sourced access from malware logs",bosch_0__s21,v1.0
AnnoCTR,bosch_0,22,"The companies the actor expressed interest in included three well-known airlines based in the United States, along with one multinational hotel chain",bosch_0__s22,v1.0
AnnoCTR,bosch_0,23,The actor bought gift cards for half or a quarter of their value,bosch_0__s23,v1.0
AnnoCTR,bosch_0,24,* Another actor Intel 471 has tracked allegedly claimed to have a large number of digital gift cards issued by three well-known airlines based in the United States for sale each day,bosch_0__s24,v1.0
AnnoCTR,bosch_0,25,"The gift cards were not carded using compromised payment cards, but purchased with points from compromised accounts with rewards programs or cash-back services",bosch_0__s25,v1.0
AnnoCTR,bosch_0,26,The actor primarily obtained credentials for such accounts from malware logs purchased on forums,bosch_0__s26,v1.0
AnnoCTR,bosch_0,27,### Ransomware Ransomware is a top threat for all internet-connected businesses,bosch_0__s27,v1.0
AnnoCTR,bosch_0,28,The transportation sector is no different,bosch_0__s28,v1.0
AnnoCTR,bosch_0,29,"Intel 471 has observed numerous attacks on transportation-based organizations, including entities in both the public and private sector",bosch_0__s29,v1.0
AnnoCTR,bosch_0,30,"These incidents have all the hallmarks of a ransomware-as-a-service attack, with crews “renting” software to launch the attack, hundreds of gigabytes in data stolen, and calls for million-dollar ransom payments",bosch_0__s30,v1.0
AnnoCTR,bosch_0,31,"* In March 2021, the operator or operators behind the NEFILIM ransomware-as-a-service affiliate program claimed the compromise of U.S.-based commercial airline Spirit Airlines, leaking 40GB of data with over 33,000 files",bosch_0__s31,v1.0
AnnoCTR,bosch_0,32,"[According to open source reporting](https://www.suspectfile.com/florida-compagnia-aerea-spirit-airlines-nuovamente-colpita-da-un-data-breach/), Financial data and other personal information of customers who purchased tickets to fly with the airline between 2006 and 2021 were posted on a name-and-shame blog",bosch_0__s32,v1.0
AnnoCTR,bosch_0,33,"* In April 2021, a group using the Mount Locker ransomware attacked the Santa Clara Valley Transportation Authority, stealing about 130 GB of corporate data",bosch_0__s33,v1.0
AnnoCTR,bosch_0,34,"The responsible parties are likely an offshoot of those who developed the ransomware, as the organization’s data was posted on a name-and-shame blog operated by a different criminal group",bosch_0__s34,v1.0
AnnoCTR,bosch_0,35,Intel 471 also observed that the criminal crew applied a “double extortion” tactic by calling and threatening the victim’s employees,bosch_0__s35,v1.0
AnnoCTR,bosch_0,36,### Conclusion Transportation companies are as dependent on technology as any other company,bosch_0__s36,v1.0
AnnoCTR,bosch_0,37,"With that trend likely to keep growing, is it imperative that these companies understand where their weak spots are when it comes to cybersecurity and how the cybercrime underground will exploit them if those weaknesses are left unchecked",bosch_0__s37,v1.0
AnnoCTR,bosch_0,38,"Keys to a successful business often rely on the internet, just as cybercriminals rely on it to carry out their crimes",bosch_0__s38,v1.0
AnnoCTR,bosch_0,39,"By being proactive in assessing risk and closing vulnerabilities, transportation companies will prevent their technology stacks from being a target for the cybercrime underground.",bosch_0__s39,v1.0
AnnoCTR,bosch_1,0,"Three ways ransomware-as-a-service has become easier than ever to launch Jul 28, 2021 A big reason why ransomware has grown into such a large cybersecurity problem is because it’s easy for criminals to get involved",bosch_1__s0,v1.0
AnnoCTR,bosch_1,1,"With promises of millions of dollars and very little threat of legal trouble, attacks are happening at a rate that is increasingly difficult for enterprises to keep up with",bosch_1__s1,v1.0
AnnoCTR,bosch_1,2,What makes it so easy for criminals to launch attacks is a combination of something we see in the everyday world: a growing base of people with technological know-how and a fine-tuned business model,bosch_1__s2,v1.0
AnnoCTR,bosch_1,3,"The cybercriminal underground is filled with people who have honed their skills in a short amount of time, studied where the security gaps are and learned what needs to be done in order to maximize profits",bosch_1__s3,v1.0
AnnoCTR,bosch_1,4,"With headlines showing that attackers are earning tens of millions of dollars, it’s clear the underground has stumbled upon something that (unfortunately) works",bosch_1__s4,v1.0
AnnoCTR,bosch_1,5,"While money and geopolitics play big roles, there are some other means that have allowed ransomware infections to proliferate with little resistance",bosch_1__s5,v1.0
AnnoCTR,bosch_1,6,"Each one covered below can be seen in ransomware attacks that have occurred this year, proving that the cybercrime underground is quick to utilize methods that will ultimately lead to the largest payouts possible",bosch_1__s6,v1.0
AnnoCTR,bosch_1,7,### Ransomware code gets reused Developers in every area of development reuse code - it’s a hallmark of the tradecraft,bosch_1__s7,v1.0
AnnoCTR,bosch_1,8,"No matter the language, you can find direct copies of the same code in everything from cellphones to construction equipment to cybersecurity products",bosch_1__s8,v1.0
AnnoCTR,bosch_1,9,"Furthermore, code from past versions of software is built upon to make newer versions of software work better than ever before -- think about the difference in your smartphone’s current operating system as compared to three years ago",bosch_1__s9,v1.0
AnnoCTR,bosch_1,10,It can feel like it’s light years beyond what it once was,bosch_1__s10,v1.0
AnnoCTR,bosch_1,11,This practice is no different among the cybercrime underground,bosch_1__s11,v1.0
AnnoCTR,bosch_1,12,Ransomware developers are fine-tuning the software to make it work as “well” as it possibly can,bosch_1__s12,v1.0
AnnoCTR,bosch_1,13,"Additionally, criminal developers borrow code from different types of malware if the functions are relatively the same and it can help attacks be “successful",bosch_1__s13,v1.0
AnnoCTR,bosch_1,14,"One such example lies in Babuk, the RaaS variant that was released as “open source” at the end of April",bosch_1__s14,v1.0
AnnoCTR,bosch_1,15,"After the builder was posted on the internet in June, it was discovered that it generates pairs of encryption and decryption tools targeting Microsoft Windows systems, VMWare ESXi hypervisors and network-attached storage (NAS) units from both Intel x86 and ARM architectures",bosch_1__s15,v1.0
AnnoCTR,bosch_1,16,"Shortly thereafter lower-level actors took advantage of the builder, launching their own ransomware campaign outside of the Babuk affiliate program",bosch_1__s16,v1.0
AnnoCTR,bosch_1,17,"In late June, an operator using info-stealing malware Vidar issued “download and execute” tasks to bots, aimed to install the Babuk ransomware variant generated by the builder",bosch_1__s17,v1.0
AnnoCTR,bosch_1,18,Another RaaS variant shows that malware code can be used interchangeably,bosch_1__s18,v1.0
AnnoCTR,bosch_1,19,"Intel 471 has observed multiple similarities in the code between Conti ransomware and BazarLoader, malware that grants backdoor access to an infected Windows host",bosch_1__s19,v1.0
AnnoCTR,bosch_1,20,"One particular similarity is in the code that allows Conti to evade analysis in an isolated instance, such as a sandbox or virtual machine",bosch_1__s20,v1.0
AnnoCTR,bosch_1,21,"The code of this function is nearly identical to that used by the BazarLoader, with both functions following the exact logic and executing the same way when searching for hooks",bosch_1__s21,v1.0
AnnoCTR,bosch_1,22,"While these examples are heavy on technical details, they essentially serve as building blocks for malware developers to easily build more efficient versions of ransomware, which in turn allow criminals to demand more money from ransomware victims",bosch_1__s22,v1.0
AnnoCTR,bosch_1,23,"### Cybercriminals love those CVEs It’s a basic function of security teams, and yet it’s one that causes quite a bit of consternation: the process around security patching",bosch_1__s23,v1.0
AnnoCTR,bosch_1,24,"Cybercriminals pay attention to CVEs as much as anyone else, knowing that organizations drag their feet in closing vulnerabilities that give criminals the access they need to carry out attacks with little struggle",bosch_1__s24,v1.0
AnnoCTR,bosch_1,25,"You can be sure that if you have read about a big vulnerability in the tech press, ransomware operators are aware of the news and will look to take advantage of it as soon as possible",bosch_1__s25,v1.0
AnnoCTR,bosch_1,26,"For instance, Intel 471 has observed the FiveHands ransomware crew looking to utilize vulnerabilities like a [SonicWall buffer overflow vulnerability](https://threatpost.com/sonicwall-botches-critical-vpn-bug/167152/) that wasn’t patched correctly the first time it was uncovered, [a remote code execution vulnerability](https://us-cert.cisa.gov/ncas/current-activity/2021/07/13/vmware-releases-security-update) in VMware’s vSphere Client that was pushed in May 2021, and the two vulnerabilities attached to Microsoft’s [PrintNightmare problem](https://www.cnn.com/2021/07/07/tech/microsoft-security-update/index.html) that are still causing issues for organizations across the world",bosch_1__s26,v1.0
AnnoCTR,bosch_1,27,"We have not seen these vulnerabilities used in any attacks since being mentioned, but given the need to have access to the domain controller in order to launch a ransomware attack, it may not be long before the group leverages the vulnerability in order to lock an enterprise up for a hefty ransom",bosch_1__s27,v1.0
AnnoCTR,bosch_1,28,### Criminals Sell Their Service Ransomware attacks have evolved to go beyond attackers just locking up an organization’s technology stack and hoping it finds a way to pay up,bosch_1__s28,v1.0
AnnoCTR,bosch_1,29,"Now attackers are looking to cause more problems via double extortion attacks, name-and-shame blogs, or DDoS attacks directed toward any public-facing assets that haven’t been locked up by the initial ransomware attack",bosch_1__s29,v1.0
AnnoCTR,bosch_1,30,"In order for that to happen, RaaS gangs are working with other “experts” in the cybercrime underground that specialize in various methods that can extend the life of a ransomware attack",bosch_1__s30,v1.0
AnnoCTR,bosch_1,31,Intel 471 observed one such actor working alongside the DarkSide ransomware gang until it shut down [following its attack on the Colonial Pipeline Co](https://edition.cnn.com/2021/06/04/politics/colonial-pipeline-ransomware-attack-password/index.html).in the United States,bosch_1__s31,v1.0
AnnoCTR,bosch_1,32,The actor claimed to have launched DDoS attacks against DarkSide’s victims for six weeks before the gang’s shutdown,bosch_1__s32,v1.0
AnnoCTR,bosch_1,33,"The actor also claimed that 10 to 20 targets were under DDoS at any given time, with attacks lasting from one to 21 days",bosch_1__s33,v1.0
AnnoCTR,bosch_1,34,"According to the actor, they earned US $500 to US $7,000 each time a victim paid a ransom",bosch_1__s34,v1.0
AnnoCTR,bosch_1,35,What’s novel about this actor is they are unlikely to be a veteran of the cybercrime underground,bosch_1__s35,v1.0
AnnoCTR,bosch_1,36,This person first surfaced on a well-known cybercrime forum in January 2021,bosch_1__s36,v1.0
AnnoCTR,bosch_1,37,"Over a six month period, the person built enough reputation to latch onto one of the most notorious ransomware gangs in operation, profiting off the million-dollar ransoms DarkSide pulled in before disappearing",bosch_1__s37,v1.0
AnnoCTR,bosch_1,38,"While this actor is new, they followed a model that is being replicated by a variety of actors that work in the cybercrime underground",bosch_1__s38,v1.0
AnnoCTR,bosch_1,39,### The solutions are actually pretty simple The instances highlighted above are not the sole reason for the rise of ransomware attacks in 2021,bosch_1__s39,v1.0
AnnoCTR,bosch_1,40,But attacks have moved far beyond sending a malicious link in an email and hoping for an errant click,bosch_1__s40,v1.0
AnnoCTR,bosch_1,41,Bad actors have evolved to quickly learn how to maximize their impact in order to make a large amount of money,bosch_1__s41,v1.0
AnnoCTR,bosch_1,42,Cybersecurity teams inside organizations must understand that being proactive about what the cybercrime underground is learning and how it's behaving can point them in the right direction of solutions for their security needs.,bosch_1__s42,v1.0
AnnoCTR,bosch_2,0,"Here’s how information stealers pose a threat beyond ransomware Aug 18, 2021 Ransomware is a top threat that security teams should be tailoring their systems to defend against",bosch_2__s0,v1.0
AnnoCTR,bosch_2,1,"But in order to do so, they may need to look further than the ransomware itself",bosch_2__s1,v1.0
AnnoCTR,bosch_2,2,"And by widening that scope, these teams may protect their enterprise beyond the damage that ransomware can cause",bosch_2__s2,v1.0
AnnoCTR,bosch_2,3,The activity that Intel 471 analysts observe on the cybercrime underground has changed a bit with the rise of ransomware,bosch_2__s3,v1.0
AnnoCTR,bosch_2,4,Malware that has been used for traditional fraud schemes — particularly information stealers — has also been co-opted into the cycle of ransomware campaigns,bosch_2__s4,v1.0
AnnoCTR,bosch_2,5,"While serving a reliable method for criminals to obtain credentials tied to financial accounts, they are now using information stealers to also go after corporate remote network login credentials, like virtual private networks (VPNs) or remote desktop software",bosch_2__s5,v1.0
AnnoCTR,bosch_2,6,A key thing to understand with regard to information stealers is that they all don’t operate in the same way,bosch_2__s6,v1.0
AnnoCTR,bosch_2,7,"This malware class falls along a spectrum: there are some tried-and-true information stealers that have been in use for years, and some growing in popularity that have only been released in the past few weeks",bosch_2__s7,v1.0
AnnoCTR,bosch_2,8,"Some versions may be solely dedicated to prying credentials away from your workforce, while others may give attackers modules that allow them to fine-tune their attack and possibly introduce longer-term attacks, like ransomware",bosch_2__s8,v1.0
AnnoCTR,bosch_2,9,"Of the info stealers that Intel 471 tracks, about half are modular in nature",bosch_2__s9,v1.0
AnnoCTR,bosch_2,10,"Those that have modular capabilities also give attackers a chance to do the following: * Intercept data entered into forms in the browser and send them to a malware control server (data exfiltration) * Install other software for malicious use, such as Cobalt Strike (for lateral movement) * Perform distributed denial of service (DDoS) attacks against different resources, such as a domain or IP address (website downtime) * Launch a ""stealth"" TeamViewer module that allows remote access to an infected machine (specific targeting) * Drop cryptominers that work to mine cryptocurrency such as Monero (steal computing resources) Taking the concept a bit further, criminals have also worked information stealers into bigger malware platforms",bosch_2__s10,v1.0
AnnoCTR,bosch_2,11,"Despite efforts to [dismantle Trickbot’s entire infrastructure](https://intel471.com/blog/trickbot-update-november-2020-bazar-loader-microsoft) in October 2020, We’ve seen updated plug-ins that enable the infamous modular malware platform to handle web injections that look to siphon credentials",bosch_2__s11,v1.0
AnnoCTR,bosch_2,12,The configuration has been issued to every Trickbot version still in use,bosch_2__s12,v1.0
AnnoCTR,bosch_2,13,"Additionally, we’ve seen criminals use [malicious document builder EtterSilent](https://intel471.com/blog/ettersilent-maldoc-builder-macro-trickbot-qbot) to spread Trickbot, giving them yet another way to steal enterprise credentials",bosch_2__s13,v1.0
AnnoCTR,bosch_2,14,"Some ransomware crews have looked to own their own “brand” of information stealers in an attempt to build custom tools that can assist them with a number of different things, including ways to evade anti-malware products",bosch_2__s14,v1.0
AnnoCTR,bosch_2,15,"In October 2020, a known account on a well-known cybercrime forum linked to the REvil ransomware gang placed a bid for the source code to the KPOT info stealer",bosch_2__s15,v1.0
AnnoCTR,bosch_2,16,"While Intel 471 cannot definitively say that the code was awarded to the account, it was the only bid placed and the auction was closed shortly thereafter",bosch_2__s16,v1.0
AnnoCTR,bosch_2,17,"Even with the uptick in ransomware-related activity, Intel 471 is still observing criminals trying to use information stealers to gain access to people’s bank accounts",bosch_2__s17,v1.0
AnnoCTR,bosch_2,18,"With mobile banking becoming increasingly prevalent, especially in the form of online-only banking, attackers have developed malware specifically targeting this form of financial services",bosch_2__s18,v1.0
AnnoCTR,bosch_2,19,"We’ve observed actors advertising web injects that target a host of different banks, including those that specialize in online-only banking",bosch_2__s19,v1.0
AnnoCTR,bosch_2,20,"Focusing strictly on the Android operating system, one actor claimed to have over web injections for 400 different banks",bosch_2__s20,v1.0
AnnoCTR,bosch_2,21,"Other actors could purchase “packs” of injects for $25, or purchase the entire library for $3,000",bosch_2__s21,v1.0
AnnoCTR,bosch_2,22,"Just as criminals behind information stealers continue to update their wares, law enforcement continues to arrest those trying to use this malware",bosch_2__s22,v1.0
AnnoCTR,bosch_2,23,"While law enforcement does what it can, it often does not move at the speed of technology",bosch_2__s23,v1.0
AnnoCTR,bosch_2,24,Those behind information stealers can cause your organization a world of pain before contact with police can be made,bosch_2__s24,v1.0
AnnoCTR,bosch_2,25,"So here’s what your security team can do to defend itself against this type of malware: * **Identity and access management**: When it comes to information stealers, criminals are by-and-large looking for credentials",bosch_2__s25,v1.0
AnnoCTR,bosch_2,26,The best way to defend against credential abuse is through the use of multi-factor authentication,bosch_2__s26,v1.0
AnnoCTR,bosch_2,27,"Whether it is a hardware token, a mobile application, or some hybrid of the two, adding another level of verification to your organization’s credentials can save you time, money and agony",bosch_2__s27,v1.0
AnnoCTR,bosch_2,28,* **Behavioral firewalls:** Even the best MFA plan isn’t going to help if your employees come across a malicious attachment in a phishing email or a socially-engineered message on social media,bosch_2__s28,v1.0
AnnoCTR,bosch_2,29,Look into SPF/DKIM/DMARC for your email services and link shims to protect your workforce from spoofed domains,bosch_2__s29,v1.0
AnnoCTR,bosch_2,30,"* **Inventory management:** Have an inventory of what network equipment, devices and software are being used on your systems",bosch_2__s30,v1.0
AnnoCTR,bosch_2,31,"If you are suddenly seeing logins from Apple devices, and you know that you are solely running Windows machines, it should send up a flag that something is amiss",bosch_2__s31,v1.0
AnnoCTR,bosch_2,32,"* **Organizational buy-in:** To those not in the cybersecurity trenches, opting for convenience over security is going to be the default mindset",bosch_2__s32,v1.0
AnnoCTR,bosch_2,33,"It is upon you, your security team, and other leaders to find a way to institute a program that clicks with your workforce, while also allowing them to get their job done as efficiently as possible",bosch_2__s33,v1.0
AnnoCTR,bosch_2,34,"While security teams may be laser-focused on preventing a ransomware attack causing a total lockdown of their IT systems, putting other forms of malware on the back burner could leave your enterprise with a serious security problem",bosch_2__s34,v1.0
AnnoCTR,bosch_2,35,Information stealers provide a way for hackers of all skill-levels to steal materials that could cause irreparable damage to your organization,bosch_2__s35,v1.0
AnnoCTR,bosch_2,36,"Be it a relative novice or a veteran crew, account takeovers still present a solid revenue stream for anyone who wants to engage in illegal activities, as well as being the key enabler of ransomware attacks.",bosch_2__s36,v1.0
AnnoCTR,bosch_3,0,"Here's how to guard your enterprise against ShinyHunters Aug 23, 2021 There is a group in the cybercriminal underground that is trying to collect troves of enterprise data the same way that millions of gamers collect Pokémon",bosch_3__s0,v1.0
AnnoCTR,bosch_3,1,"Since surfacing in April 2020, the group — which refers to itself as ShinyHunters — has been behind some of the most notable data breaches that have been made public",bosch_3__s1,v1.0
AnnoCTR,bosch_3,2,"Those include breaches of [Microsoft’s GitHub account](https://threatpost.com/report-microsofts-github-account-gets-hacked/155587/), [photo editing app Pixlr](https://siliconangle.com/2021/01/20/shinyhunters-publishes-1-9m-stolen-user-credentials-photo-editing-site-pixlr/), and [men’s clothing retailer Bonobos](https://www.bleepingcomputer.com/news/security/bonobos-clothing-store-suffers-a-data-breach-hacker-leaks-70gb-database/)",bosch_3__s2,v1.0
AnnoCTR,bosch_3,3,"Intel 471 has also observed them claiming responsibility for several other breaches, including incidents impacting a sports media company, a mobile travel platform, and a website that allows musical artists to find and book gigs",bosch_3__s3,v1.0
AnnoCTR,bosch_3,4,"As research was being conducted for this blog, the group claimed to be in possession of 70 million records with personally identifiable information that it took from telecom giant AT&T",bosch_3__s4,v1.0
AnnoCTR,bosch_3,5,"With figures estimating the average data breach this year is approximately $4.4 million, we can estimate that ShinyHunters has cost companies tens of millions of dollars in damages this year",bosch_3__s5,v1.0
AnnoCTR,bosch_3,6,"Primarily operating on Raid Forums, the collective’s moniker and motivation can partly be derived from their avatar on social media and other forums: [a shiny Umbreon Pokémon](https://twitter.com/sh\_corp)",bosch_3__s6,v1.0
AnnoCTR,bosch_3,7,"As Pokémon players hunt and collect “shiny” characters in the game, ShinyHunters collects and resells user data",bosch_3__s7,v1.0
AnnoCTR,bosch_3,8,"While the group’s targets are spread across different economic sectors, the methods by which they are obtaining organizational data follow a consistent pattern",bosch_3__s8,v1.0
AnnoCTR,bosch_3,9,"ShinyHunters tries to obtain legitimate credentials, most likely for a company's cloud services",bosch_3__s9,v1.0
AnnoCTR,bosch_3,10,"From there, the group will seek to target database infrastructure to gather PII to be resold on marketplaces for profit",bosch_3__s10,v1.0
AnnoCTR,bosch_3,11,Intel 471 has also observed ShinyHunters targeting DevOps personnel or GitHub repository companies in order to steal valid OAuth credentials,bosch_3__s11,v1.0
AnnoCTR,bosch_3,12,These OAuth keys are used to access cloud infrastructure and bypass any two-factor authentication processes that are in place,bosch_3__s12,v1.0
AnnoCTR,bosch_3,13,"Below is a further breakdown of the courses of action (CoAs) the actor could take based on TTPs identified, including the most likely courses of action (MLCoA) and the most dangerous courses of action (MDCoA) that organizations could anticipate",bosch_3__s13,v1.0
AnnoCTR,bosch_3,14,More MITRE ATT&CK mapping can be found at the end of this blog,bosch_3__s14,v1.0
AnnoCTR,bosch_3,15,"![ShinyHunters](https://d39ec1uo9ktrut.cloudfront.net/ShinyHunters-blog-table-v1.png) Intel 471 has also observed the group follow TTPs in the MDCoA column, but then leverage the credentials in secondary or tertiary attacks",bosch_3__s15,v1.0
AnnoCTR,bosch_3,16,"Additionally, the group will also search a company's GitHub repository source code for vulnerabilities within the code itself",bosch_3__s16,v1.0
AnnoCTR,bosch_3,17,"These vulnerabilities are used in further, more complex, third-party or supply chain attacks",bosch_3__s17,v1.0
AnnoCTR,bosch_3,18,ShinyHunters may not have as much notoriety as the ransomware groups that are currently causing havoc for enterprises all over the world,bosch_3__s18,v1.0
AnnoCTR,bosch_3,19,"However, tracking actors like this are crucial to preventing your enterprise from being hit with such an attack",bosch_3__s19,v1.0
AnnoCTR,bosch_3,20,The information ShinyHunters gathers is often turned around and sold on the same underground marketplaces where ransomware actors use it to launch their own attacks,bosch_3__s20,v1.0
AnnoCTR,bosch_3,21,"If enterprises can move to detect activity like ShinyHunters, they in turn can stop ransomware attacks before they are ever launched",bosch_3__s21,v1.0
AnnoCTR,bosch_3,22,**APPENDIX:** **MITRE ATT&CK Techniques** **Reconnaissance** [[TA0043](https://attack.mitre.org/tactics/TA0043/)] * Gather Victim Identity Information: Credentials [[T1589.001]](https://attack.mitre.org/techniques/T1589/001/) - Sold unauthorized access credentials containing PII,bosch_3__s22,v1.0
AnnoCTR,bosch_3,23,* Gather Victim Identity Information: Email Addresses [[T1589.002](https://attack.mitre.org/techniques/T1589/002/)] - Sold unauthorized access credentials containing PII,bosch_3__s23,v1.0
AnnoCTR,bosch_3,24,* Phishing for Information [[T1598](https://attack.mitre.org/techniques/T1598/)],bosch_3__s24,v1.0
AnnoCTR,bosch_3,25,Conducted phishing attacks targeting Microsoft Office 365 corporate users to steal account credentials,bosch_3__s25,v1.0
AnnoCTR,bosch_3,26,**Initial Access** [[TA0001](https://attack.mitre.org/tactics/TA0001/)] * Phishing [[T1566](https://attack.mitre.org/techniques/T1566/)] - Conducted phishing attacks targeting Microsoft Office 365 corporate users to steal account credentials,bosch_3__s26,v1.0
AnnoCTR,bosch_3,27,"* Valid Accounts: Domain Accounts [[T1078.002](https://attack.mitre.org/techniques/T1078/002/)], Sold unauthorized access credentials containing PII",bosch_3__s27,v1.0
AnnoCTR,bosch_3,28,* Valid Accounts: Cloud Accounts [[T1078.004](https://attack.mitre.org/techniques/T1078/004/)],bosch_3__s28,v1.0
AnnoCTR,bosch_3,29,Used AWS keys to obtain further access to cloud services and subsequently dumped databases hosted through AWS,bosch_3__s29,v1.0
AnnoCTR,bosch_3,30,**Credential Access** [[TA0006](https://attack.mitre.org/tactics/TA0006)] * Steal Application Access Tokens [[T1528](https://attack.mitre.org/techniques/T1528)] - Leveraged stolen Amazon Web Services (AWS) keys,bosch_3__s30,v1.0
AnnoCTR,bosch_3,31,**Discovery** [[TA0007](https://attack.mitre.org/tactics/TA0007)] * Cloud Infrastructure Discovery [[T1580](https://attack.mitre.org/techniques/T1580)] - Reset passwords for accounts with access to the victim organization’s GitHub software repository system and sought Amazon Web Services (AWS) keys,bosch_3__s31,v1.0
AnnoCTR,bosch_3,32,**Lateral Movement** [[TA0008](https://attack.mitre.org/tactics/TA0008)] * Exploitation of Remote Services [[T1210](https://attack.mitre.org/techniques/T1210)] - Searched GitHub repository for OAuth keys and used them to move laterally to a cloud service,bosch_3__s32,v1.0
AnnoCTR,bosch_3,33,* Software Deployment Tools [[T1072](https://attack.mitre.org/techniques/T1072)] - Used GitHub repository,bosch_3__s33,v1.0
AnnoCTR,bosch_3,34,**Collection** [[TA0009](https://attack.mitre.org/tactics/TA0009)] * Data from Cloud Storage Object [[T1530](https://attack.mitre.org/techniques/T1530)] - Used AWS keys to obtain further access to cloud services and subsequently dumped databases hosted through AWS,bosch_3__s34,v1.0
AnnoCTR,bosch_3,35,* Data from Information Repositories [[T1213](https://attack.mitre.org/techniques/T1213)],bosch_3__s35,v1.0
AnnoCTR,bosch_3,36,Searched GitHub repository for OAuth keys and used them to move laterally to a cloud service,bosch_3__s36,v1.0
AnnoCTR,bosch_3,37,**Exfiltration** [[TA0010](https://attack.mitre.org/tactics/TA0010)] * Exfiltration Over Web Service [[T1567](https://attack.mitre.org/techniques/T1567)],bosch_3__s37,v1.0
AnnoCTR,bosch_3,38,Searched GitHub repository for OAuth keys and used them to move laterally to a cloud service.,bosch_3__s38,v1.0
AnnoCTR,bosch_4,0,"How Groove Gang is shaking up the Ransomware-as-a-Service market to empower affiliates Sep 09, 2021 *Authored by Max Kersten, John Fokker, Thibault Seret and Intel471* *This blog post also ran on [McAfee's Enterprise ATR blog](https://www.mcafee.com/blogs/enterprise/mcafee-enterprise-atr/how-groove-gang-is-shaking-up-the-ransomware-as-a-service-market-to-empower-affiliates/).* ### Executive Summary McAfee Enterprise ATR believes, with high confidence, that the Groove gang is associated with the Babuk gang, either as a former affiliate or subgroup",bosch_4__s0,v1.0
AnnoCTR,bosch_4,1,"These cybercriminals are happy to put aside previous Ransomware-as-a-Service hierarchies to focus on the ill-gotten gains to be made from controlling victim’s networks, rather than the previous approach which prioritized control of the ransomware itself",bosch_4__s1,v1.0
